,county,state,Lon,Lat
2288,Polk,Tennessee,-89.1178448,36.3081218
2289,Donley,Texas,-100.8145306,34.9315007
2290,Gillespie,Texas,-98.9086643,30.2954086
2291,Goliad,Texas,-97.4379552,28.6467776
2292,Jasper,Texas,-94.000884,30.7485258
2293,Jim Wells,Texas,-98.1084601,27.8067733
2294,Lee,Texas,-96.9588587,30.3031353
2295,Palo Pinto,Texas,-98.2814881,32.7215726
2296,Panola,Texas,-94.3130073,32.1367712
2297,Kane,Utah,-112.0048393,37.2439691
2298,Cumberland,Virginia,-78.2446058,37.4966375
2299,Salem city,Virginia,-79.97326827634105,37.2456868
2300,Pend Oreille,Washington,-117.2778631,48.5188671
2301,Pendleton,West Virginia,-79.4954057,39.1191782
2302,Adams,Wisconsin,-89.7836456,43.9462246
2303,Trempealeau,Wisconsin,-91.4414831,44.0057611
2304,Uinta,Wyoming,-110.5678519,41.2631855
2305,Barbour,Alabama,-85.4032078,31.8589311
2306,Henry,Alabama,-85.2447377,31.4838041
2307,Southeast Fairbanks Census Area,Alaska,0,0
2308,Lafayette,Arkansas,-93.5972459,33.1821484
2309,Prairie,Arkansas,-91.5751148,34.8105247
2310,Tehama,California,-122.2015529,40.1251334
2311,Las Animas,Colorado,-104.0591427,37.3096626
2312,Rio Blanco,Colorado,-108.1807779,39.9847294
2313,Franklin,Florida,-84.8239118,29.8323143
2314,Elbert,Georgia,-82.8408412,34.1194318
2315,Marion,Georgia,-84.4454815,33.4245595
2316,Quitman,Georgia,-83.5596907,30.7852708
2317,Towns,Georgia,-82.7536605,32.0056876
2318,De Witt,Illinois,-88.7861844,40.1811468
2319,Effingham,Illinois,-88.6029006,39.0520902
2320,Jersey,Illinois,-90.3303344,39.0848464
2321,Parke,Indiana,-87.2158436,39.7686321
2322,Louisa,Iowa,-91.2683976,41.206668
2323,Lyon,Iowa,-96.2081917,43.3747071
2324,Plymouth,Iowa,-96.2213607,42.7369124
2325,Marion,Kansas,-97.1305937,38.3734544
2326,Osborne,Kansas,-98.7933509,39.3351558
2327,Aroostook,Maine,-67.9230792,46.8200431
2328,Washington,Maine,-69.3672657,44.2736859
2329,Luce,Michigan,-85.5556156,46.4824144
2330,Clark,Missouri,-91.7362195,40.3962004
2331,Linn,Missouri,-93.1104004,39.8652349
2332,Saline,Missouri,-93.2300648,39.1256186
2333,Glacier,Montana,-112.9467116,48.6966449
2334,Merrick,Nebraska,-98.0531937,41.1650536
2335,Coos,New Hampshire,-71.3768039,44.698627
2336,Unknown,New Mexico,-105.97045904999999,35.267063949999994
2337,Bladen,North Carolina,-79.0863971,35.796182
2338,Chowan,North Carolina,-76.6677262,36.266545
2339,Haywood,North Carolina,-79.0639047,35.6201515
2340,Eddy,North Dakota,-98.9087265,47.7113958
2341,Slope,North Dakota,-103.4507022,46.4464651
2342,Grant,Oklahoma,-95.5150389,33.9428033
2343,Major,Oklahoma,-98.4995602,36.2860458
2344,McCurtain,Oklahoma,-94.9707891,35.1498196
2345,Crook,Oregon,-120.3839476,44.1460291
2346,Clinton,Pennsylvania,-80.2945057,40.4895121
2347,Lampasas,Texas,-98.240563,31.1761363
2348,Titus,Texas,-94.9651725,33.2040399
2349,Carbon,Utah,-110.6505023,39.6023917
2350,Duchesne,Utah,-110.4715153,40.2960433
2351,Emery,Utah,-110.8038549,38.9844774
2352,Grand,Utah,-109.6619899,38.9634637
2353,Juab,Utah,-112.8342117,39.6949628
2354,Millard,Utah,-113.0861444,39.0364951
2355,Buena Vista city,Virginia,-79.3539292,37.7342962
2356,Caroline,Virginia,-77.362363,38.0320305
2357,Emporia city,Virginia,-77.5357141,36.6937606
2358,Lexington city,Virginia,-79.4428157,37.7840208
2359,Pulaski,Virginia,-80.7797935,37.0478983
2360,Richmond,Virginia,-77.43428,37.5385087
2361,Westmoreland,Virginia,-78.4544553,38.0865259
2362,Wise,Virginia,-82.5757108,36.9759345
2363,Asotin,Washington,-117.0482116,46.3393265
2364,Mineral,West Virginia,-78.9416922,39.3839905
2365,Barron,Wisconsin,-91.8454099,45.423557
2366,Rusk,Wisconsin,-91.8340623,44.9077399
2367,Lincoln,Wyoming,-110.7208048,42.1765551
2368,Dallas,Arkansas,-92.6853662,33.9630776
2369,Ouray,Colorado,-107.7414887,38.146044
2370,Dixie,Florida,-83.17351,29.6214008
2371,Jefferson,Florida,-83.9326576,30.3949531
